id,name,description,caution
11,Jardiance (Empagliflozin),Adults: Empagliflozin: The usual starting dose for Jardiance is 10 mg once daily- taken in the morning with or without food. If additional glycemic control is needed and the 10 mg dose is tolerated well- the dose can be increased to 25 mg once daily. Children: Safety and Efficacy: The safety and efficacy of Jardiance (empagliflozin) in pediatric patients have not been established. Therefore- Jardiance is generally not recommended for use in children.,Jardiance (Empagliflozin) is contraindicated in patients with: Severe renal impairment: Defined as an estimated glomerular filtration rate (eGFR) below 30 mL/min/1.73 m²-or in patients on dialysis.
12,Forxiga (Dapagliflozin),Adults: Dapagliflozin: The usual starting dose is 5 mg once daily- taken in the morning with or without food. If additional glycemic control is needed and the 5 mg dose is tolerated well-the dose can be increased to 10 mg once daily. Children: Safety and Efficacy: The safety and efficacy of Forxiga (dapagliflozin) in pediatric patients have not been established. Therefore- Forxiga is generally not recommended for use in children.,Forxiga (Dapagliflozin) is contraindicated in patients with: Severe renal impairment: Defined as an estimated glomerular filtration rate (eGFR) below 30 mL/min/1.73 m²-or in patients on dialysis.
13, Glinide,Adults: Glinides are used to manage type 2 diabetes by stimulating rapid-short-acting insulin secretion from pancreatic beta cells in response to meals. Typical doses for repaglinide range from 0.5 mg to 4 mg before meals- while nateglinide is typically dosed at 120 mg before meals. Children: The safety and efficacy of glinides have not been established in pediatric patients- and they are generally not recommended for use in children.,Contraindications: Include type 1 diabetes-diabetic ketoacidosis- severe hepatic impairment- hypersensitivity- and use during pregnancy and lactation. Additionally-repaglinide should not be used with gemfibrozil due to the risk of severe hypoglycemia.
14,"Pioglitazone/metformin (Actoplus Met, Actoplus Met XR)",Adults: Actoplus Met and Actoplus Met XR combine pioglitazone and metformin to manage type 2 diabetes. Doses are individualized based on the patient’s current medications and response-with a maximum daily dose of 45 mg pioglitazone and 2550 mg metformin for Actoplus Met-and 45 mg pioglitazone and 2000 mg metformin XR for Actoplus Met XR. Children: The safety and efficacy of Pioglitazone/Metformin in pediatric patients have not been established- and these medications are generally not recommended for children.,Contraindications: Include severe renal impairment- metabolic acidosis- type 1 diabetes- severe hepatic impairment- NYHA Class III or IV heart failure- history of serious hypersensitivity reactions- active bladder cancer- and use during pregnancy and lactation.
15,Novolin R FlexPen,Adults: Novolin R FlexPen is used for managing blood glucose levels in type 1 and type 2 diabetes-administered subcutaneously- typically 30 minutes before meals. Children: Novolin R can be used in pediatric patients-with dosing adjusted based on age- weight- and individual requirements.,Contraindications: Include hypoglycemia-hypersensitivity to insulin or its excipients- and severe renal or hepatic impairment-though the latter requires careful management rather than absolute avoidance.
16,Novolin R ReliOn,Adults: Novolin R ReliOn is used to manage type 1 and type 2 diabetes by administering regular insulin subcutaneously- typically 30 minutes before meals. Children: The safety and efficacy of Novolin R ReliOn are established in pediatric patients with diabetes- with dosing adjusted according to the child’s specific needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin or excipients- and severe renal or hepatic impairment- which requires careful management.
17,Novolin R FlexPen ReliOn,Adults: Novolin R FlexPen ReliOn is used to manage type 1 and type 2 diabetes through subcutaneous injections of regular insulin-typically administered 30 minutes before meals.  Children: It can be used in children with type 1 or type 2 diabetes- with dosing adjusted according to the child’s specific needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin or its excipients- and severe renal or hepatic impairment-which requires careful dosing and monitoring.
18,Fiasp,Adults: Fiasp is used for rapid control of postprandial blood glucose levels in type 1 and type 2 diabetes. It is injected subcutaneously within 20 minutes before or after the start of a meal. Children: Fiasp is approved for use in children with type 1 diabetes aged 2 years and older. Dosing is adjusted based on the child's specific needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin aspart or its excipients- and severe renal or hepatic impairment- which requires careful management.
19,Fiasp FlexTouch,Adults: Fiasp FlexTouch is a prefilled insulin pen used for rapid-acting insulin therapy to manage type 1 and type 2 diabetes. It is injected subcutaneously within 20 minutes before or after meals. Children: Fiasp FlexTouch is also approved for use in children aged 2 years and older with type 1 diabetes-with dosing tailored to their specific needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin aspart or its excipients- and severe renal or hepatic impairment- which require careful management and monitoring.
20,Fiasp PenFill,Adults: Fiasp PenFill is used for managing type 1 and type 2 diabetes with a faster-acting insulin formulation. It is administered subcutaneously with an insulin pen- typically within 20 minutes before or after meals. Children: Fiasp PenFill can be used in children with type 1 diabetes- aged 2 years and older- with dosing adjusted based on specific needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin aspart or its excipients- and severe renal or hepatic impairment- which require careful monitoring and adjustments.
21,Novolog,Adults: Novolog is used for managing type 1 and type 2 diabetes through subcutaneous injection-typically administered within 15 minutes before or after meals. Children: Novolog is also approved for use in children with type 1 diabetes- aged 2 years and older- with dosing adjusted based on individual needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin aspart or its excipients- and severe renal or hepatic impairment- which requires careful management and monitoring.
22,Novolog FlexPen,Adults: Novolog FlexPen is used for managing type 1 and type 2 diabetes with a prefilled insulin pen-administered subcutaneously within 15 minutes before or after meals. Children: Novolog FlexPen is approved for use in children with type 1 diabetes- aged 2 years and older-with dosing adjusted according to individual needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin aspart or its excipients- and severe renal or hepatic impairment- which requires careful management and monitoring.
23,Novolog FlexTouch,Adults: Novolog FlexTouch is used for managing type 1 and type 2 diabetes through subcutaneous injection of faster-acting insulin-administered within 15 minutes before or after meals. Children: Novolog FlexTouch is also approved for children with type 1 diabetes- aged 2 years and older- with dosing tailored to the child's specific needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin aspart or its excipients- and severe renal or hepatic impairment- which requires careful management and adjustments.
24,Novolog PenFill,Adults: Novolog PenFill is used to manage type 1 and type 2 diabetes through subcutaneous injection with an insulin pen-typically administered within 15 minutes before or after meals.Children: Novolog PenFill can be used in children with type 1 diabetes- aged 2 years and older- with dosing adjusted according to the child's specific needs.,"Contraindications: Include hypoglycemia, hypersensitivity to insulin aspart or its excipients-and severe renal or hepatic impairment- which requires careful management and monitoring."
25,Relion Novolog,Adults: ReliOn Novolog is used to manage type 1 and type 2 diabetes through subcutaneous injection-typically administered within 15 minutes before or after meals.  Children: ReliOn Novolog is approved for use in children with type 1 diabetes- aged 2 years and older-with dosing adjusted according to individual needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin aspart or its excipients- and severe renal or hepatic impairment-which requires careful management and monitoring.
26,Relion Novolog FlexPen,Adults: ReliOn Novolog FlexPen is used for managing type 1 and type 2 diabetes with a prefilled insulin pen-administered subcutaneously within 15 minutes before or after meals. Children: ReliOn Novolog FlexPen can be used in children with type 1 diabetes- aged 2 years and older- with dosing adjusted according to the child's specific needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin aspart or its excipients- and severe renal or hepatic impairment-which requires careful management and monitoring.
27,Apidra,Adults: Apidra is used to manage type 1 and type 2 diabetes through subcutaneous injection of fast-acting insulin-typically administered within 15 minutes before or up to 20 minutes after meals. Children: Apidra is approved for use in children with type 1 diabetes- aged 4 years and older- with dosing adjusted according to individual needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin glulisine or its excipients- and severe renal or hepatic impairment- which requires careful management and monitoring.
28,Apidra SoloStar,Adults: Apidra SoloStar is used for managing type 1 and type 2 diabetes with a prefilled insulin pen-administered subcutaneously within 15 minutes before or up to 20 minutes after meals. Children: Apidra SoloStar can be used in children with type 1 diabetes- aged 4 years and older- with dosing adjusted according to the child's specific needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin lispro or its excipients- and severe renal or hepatic impairment- which requires careful management and monitoring
29,Admelog,Adults: Admelog is used to manage type 1 and type 2 diabetes through subcutaneous injection of fast-acting insulin-typically administered within 15 minutes before or immediately after meals.Children: Admelog is approved for use in children with type 1 diabetes- aged 3 years and older- with dosing adjusted according to individual needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin lispro or its excipients- and severe renal or hepatic impairment- which requires careful management and monitoring.
30,Admelog SoloStar,Adults: Admelog SoloStar is used for managing type 1 and type 2 diabetes with a prefilled insulin pen-administered subcutaneously within 15 minutes before or immediately after meals. Children: Admelog SoloStar can be used in children with type 1 diabetes-aged 3 years and older-with dosing adjusted according to the child's specific needs.,Contraindications: Include hypoglycemia- hypersensitivity to insulin lispro or its excipients- and severe renal or hepatic impairment- which requires careful management and monitoring.
31,Humalog,Adults: Humalog is used to manage type 1 and type 2 diabetes through subcutaneous injection of fast-acting insulin-typically administered within 15 minutes before or immediately after meals. Children: Humalog is approved for use in children with type 1 diabetes- aged 3 years and older- with dosing adjusted according to individual needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin lispro or its excipients- and severe renal or hepatic impairment- which requires careful management and monitoring.
32,Humalog KwikPen,Adults: Humalog KwikPen is used to manage type 1 and type 2 diabetes through subcutaneous injection of fast-acting insulin-typically administered within 15 minutes before or immediately after meals.Children: Humalog KwikPen is approved for use in children with type 1 diabetes-aged 3 years and older-with dosing adjusted according to individual needs.,Contraindications: Include hypoglycemia- hypersensitivity to insulin lispro or its excipients- and severe renal or hepatic impairment- which requires careful management and monitoring.
33,Humalog Junior KwikPen,Adults: Humalog Junior KwikPen-with its finer dose adjustments- is used to manage type 1 and type 2 diabetes through subcutaneous injection of fast-acting insulin- typically administered within 15 minutes before or immediately after meals.  Children: Humalog Junior KwikPen is approved for use in children with type 1 diabetes- aged 3 years and older- allowing for finer dose adjustments to meet individual needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin lispro or its excipients- and severe renal or hepatic impairment-which requires careful management and monitoring.
34,Humulin N U-100,Adults: Humulin N U-100 is used to manage diabetes through subcutaneous injection of intermediate-acting insulin- typically administered once or twice daily. Children: Humulin N U-100 is approved for use in children with diabetes-with dosing adjusted according to individual needs.,Contraindications: Include hypoglycemia- hypersensitivity to insulin isophane or its excipients- and severe renal or hepatic impairment- which requires careful management and monitoring.
35,Humulin N KwikPen,Adults: Humulin N KwikPen is used to manage diabetes through subcutaneous injection of intermediate-acting insulin-typically administered once or twice daily. Children: Humulin N KwikPen is approved for use in children with diabetes- with dosing adjusted according to individual needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin isophane or its excipients- and severe renal or hepatic impairment-which requires careful management and monitoring.
36,Novolin N,Adults: The dose of Novolin N is individualized and adjusted based on the patient’s metabolic needs-blood glucose monitoring results- and glycemic control goal. Children: The dosage of Novolin N must be individualized in pediatric patients based on metabolic needs and frequent monitoring of blood glucose to reduce the risk of hypoglycemia.,NOVOLIN N is contraindicated: During episodes of hypoglycemia. In patients who have hypersensitivity reactions to NOVOLIN N or any of its excipients
37,Novolin N FlexPen,Injectable suspension: 100 units/mL (U-100) white and cloudy suspension available as: 10 mL multiple-dose vial- 3 mL single-patient-use NOVOLIN N FlexPen prefilled pen,NOVOLIN N is contraindicated: During episodes of hypoglycemia. In patients who have hypersensitivity reactions to NOVOLIN N or any of its excipients
38,Novolin N ReliOn,Injectable suspension: 100 units/mL (U-100) white and cloudy suspension available as: 10 mL multiple-dose vial- 3 mL single-patient-use NOVOLIN N FlexPen prefilled pen,NOVOLIN N is contraindicated: During episodes of hypoglycemia. In patients who have hypersensitivity reactions to NOVOLIN N or any of its excipients
39,Novolin N FlexPen ReliOn,Injectable suspension: 100 units/mL (U-100) white and cloudy suspension available as: 10 mL multiple-dose vial- 3 mL single-patient-use NOVOLIN N FlexPen prefilled pen,NOVOLIN N is contraindicated: During episodes of hypoglycemia. In patients who have hypersensitivity reactions to NOVOLIN N or any of its excipients
40,Tresiba,TRESIBA is available in 2 concentrations (U-100 and U-200): The FlexTouch pen delivers doses in 1 unit increments and can deliver up to 80 units in a single injection. The FlexTouch pen delivers doses in 2 unit increments and can deliver up to 160 units in a single injection. In adults-inject TRESIBA subcutaneously once-daily at any time of day. In pediatric patients inject TRESIBA subcutaneously once-daily at the same time every day.,DO NOT administer TRESIBA intravenously or in an insulin infusion pump. DO NOT dilute or mix TRESIBA with any other insulin or solution. DO NOT transfer TRESIBA from the TRESIBA FlexTouch pen into a syringe for administration [see Warnings and Precautions 
41,Tresiba FlexTouch,Adults: Tresiba FlexTouch is used to manage diabetes through subcutaneous injection of long-acting basal insulin-typically administered once daily at any time of day. Children: Tresiba FlexTouch is approved for use in children with diabetes- typically aged 1 year and older- with dosing adjusted according to individual needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin degludec or its excipients- and severe renal or hepatic impairment-which requires careful management and monitoring.
42,Levemir,Adults: Levemir is used to manage diabetes through subcutaneous injection of long-acting insulin-typically administered once or twice daily. Dosage is individualized based on blood glucose monitoring and therapeutic needs. Children: Levemir is approved for use in children with diabetes- typically aged 2 years and older- with dosing adjusted according to individual needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin detemir or its excipients- and severe renal or hepatic impairment- which requires careful management and monitoring.
43,Basaglar KwikPen,Adults: Basaglar KwikPen is used to manage diabetes through subcutaneous injection of long-acting insulin-typically administered once daily at the same time each day. Children: Basaglar KwikPen is approved for use in children with diabetes- typically aged 6 years and older- with dosing adjusted according to individual needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin glargine or its excipients- and severe renal or hepatic impairment- which requires careful management and monitoring.
44,Lantus,Adults: Lantus is used to manage diabetes through subcutaneous injection of long-acting insulin-typically administered once daily at the same time each day. Children: Lantus is approved for use in children with diabetes- typically aged 6 years and older- with dosing adjusted according to individual needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin glargine or its excipients- and severe renal or hepatic impairment-which requires careful management and monitoring.
45,Lantus SoloStar,Adults: Lantus SoloStar is used to manage diabetes through subcutaneous injection of long-acting insulin-typically administered once daily at the same time each day. Children: Lantus SoloStar is approved for use in children with diabetes-typically aged 6 years and older-with dosing adjusted according to individual needs.,Contraindications: Include hypoglycemia-hypersensitivity to insulin glargine or its excipients- and severe renal or hepatic impairment- which requires careful management and monitoring.
46,Toujeo SoloStar,Adults: Toujeo SoloStar is used to manage diabetes through subcutaneous injection of long-acting insulin-typically administered once daily at the same time each day. Children: The safety and efficacy of Toujeo SoloStar in pediatric patients have not been established- and it is primarily used in adults.,Contraindications: Include hypoglycemia-hypersensitivity to insulin glargine or its excipients- and severe renal or hepatic impairment- which requires careful management and monitoring.
47,Toujeo Max SoloStar,Adults: Toujeo Max SoloStar is used to manage diabetes through subcutaneous injection of insulin glargine U-300-a long-acting insulin- typically administered once daily at the same time each day. Children: The safety and efficacy of Toujeo Max SoloStar in pediatric patients have not been established- and it is primarily approved for use in adults.,Contraindications: Include hypoglycemia-hypersensitivity to insulin glargine or its excipients- and severe renal or hepatic impairment- which requires careful management and monitoring.
48,Humulin 70/30,Adults: Humulin 70/30 is a premixed insulin containing 70% NPH (neutral protamine Hagedorn) insulin and 30% regular insulin. It is used to manage diabetes through subcutaneous injection-providing both an intermediate-acting and short-acting insulin component. Children: The safety and efficacy of Humulin 70/30 in pediatric patients have been established. The dosing in children is individualized based on their specific needs- including age- weight- insulin sensitivity- and blood glucose monitoring results.,Contraindications: Include hypoglycemia-hypersensitivity to any of the ingredients in Humulin 70/30- and severe renal or hepatic impairment- which requires careful management and monitoring.
49,Humulin 70/30 KwikPen,Adults: Humulin 70/30 KwikPen is a prefilled insulin pen containing a premixed combination of 70% NPH (neutral protamine Hagedorn) insulin and 30% regular insulin. It is used to manage diabetes through subcutaneous injection-providing both an intermediate-acting and short-acting insulin component. Children: The safety and efficacy of Humulin 70/30 KwikPen in pediatric patients have been established. The dosing in children is individualized based on their specific needs-including age- weight- insulin sensitivity- and blood glucose monitoring results.,Contraindications: Include hypoglycemia-hypersensitivity to any of the ingredients in Humulin 70/30 KwikPen- and severe renal or hepatic impairment- which requires careful management and monitoring.
50,Novolin 70/30,Adults: Novolin 70/30 is a premixed insulin containing 70% NPH (neutral protamine Hagedorn) insulin and 30% regular insulin. It is used to manage diabetes through subcutaneous injection-providing both an intermediate-acting and short-acting insulin component. Children: The safety and efficacy of Novolin 70/30 in pediatric patients have been established. The dosing in children is individualized based on their specific needs- including age- weight- insulin sensitivity- and blood glucose monitoring results.,Contraindications: Include hypoglycemia-hypersensitivity to any of the ingredients in Novolin 70/30- and severe renal or hepatic impairment- which requires careful management and monitoring.
